Term,Subj,Crse,Crse_Title,CRN,Sect,POT,Camp,Sche_Typ,Inst_Mthd,Contract_Type,Apprv_Seat_Lim,Sect_Seat_Lim,Sect_Seats_Taken,Sect_Seats_Avail,percent_utilization,Start_Dt,End_Dt,Days,Beg_Time,End_Time,Bldg,Rm,Rm_Cap,Instructor,Contract_Type
202402,MAT,1,Dev Math Skills,20677,7,FE,A,LEC,TR,,17,17,0,17,0,1/22/2024,5/14/2024,TR,6:00PM,7:15PM,RIVRHE,200,20,,
202402,MAT,1,Dev Math Skills,20797,2,FD,A,LEC,TR,,17,17,0,17,0,1/22/2024,5/14/2024,MW,08:00AM,09:15AM,RIVRHE,200,20,,
202402,MAT,1,Dev Math Skills,21661,1,FD,W,LEC,TR,,17,17,0,17,0,1/22/2024,5/14/2024,TR,08:00AM,09:15AM,SFCUA,A122,36,,
202402,MAT,1,Dev Math Skills,29629,4,FD,A,LEC,TR,,17,17,0,17,0,1/22/2024,5/14/2024,TR,12:30PM,1:45PM,RIVRHE,200,20,,
202402,MAT,1,Dev Math Skills,35573,6,FE,W,LEC,TR,,17,17,0,17,0,1/22/2024,5/14/2024,TR,4:00PM,5:15PM,SFCUA,A122,36,,
202402,MAT,1,Dev Math Skills,35575,3,FD,W,LEC,TR,,17,17,0,17,0,1/22/2024,5/14/2024,MW,09:30AM,10:45AM,SFCUA,A122,36,,
202402,MAT,1,Dev Math Skills,36619,5,FD,W,LEC,TR,,17,17,0,17,0,1/22/2024,5/14/2024,TR,2:00PM,3:15PM,SFCUA,A123,36,,
202402,MAT,6,Pre-Algebra and Algebra I,21822,3,FE,W,LEC,TR,,22,22,0,22,0,1/22/2024,5/14/2024,TR,6:00PM,8:20PM,SFCUA,A213,36,,
202402,MAT,6,Pre-Algebra and Algebra I,37103,2,FD,A,LEC,TR,,22,22,0,22,0,1/22/2024,5/14/2024,MW,09:30AM,10:45AM,RIVRHE,231,32,,
202402,MAT,6,Pre-Algebra and Algebra I,37103,2,FD,A,LEC,TR,,22,22,0,22,0,1/22/2024,5/14/2024,TR,09:30AM,10:20AM,RIVRHE,231,32,,
202402,MAT,7,Algebra I,20689,18,FD,A,LEC,TR,,30,30,0,30,0,1/22/2024,5/14/2024,MW,2:00PM,3:40PM,RIVRHE,237,32,,
202402,MAT,7,Algebra I,21090,4,FD,A,LEC,TR,,30,30,0,30,0,1/22/2024,5/14/2024,MW,09:30AM,11:10AM,RIVRHE,232,32,,
202402,MAT,7,Algebra I,21678,16,FD,W,LEC,TR,,30,30,0,30,0,1/22/2024,5/14/2024,MW,1:30PM,3:10PM,SFCUA,A124,36,,
202402,MAT,7,Algebra I,21680,9,FD,W,LEC,TR,,30,30,0,30,0,1/22/2024,5/14/2024,TR,09:30AM,11:10AM,SFCUA,A123,36,,
202402,MAT,7,Algebra I,21686,10,FD,W,LEC,TR,,30,30,0,30,0,1/22/2024,5/14/2024,MW,09:30AM,11:10AM,SFCUA,A116,29,,
202402,MAT,7,Algebra I,21828,24,FE,W,LEC,TR,,30,30,0,30,0,1/22/2024,5/14/2024,MW,6:00PM,7:40PM,SFCUA,A122,36,,
